case_id,summary,offense,ipc_section,detention,expected_sentence,age,gender,priority_label,undertrial_flag
C01355,"Robbery case, in custody for 29 months",robbery,IPC 392,29,36,69,Female,medium,no
C01356,"Minor theft case, in custody for 25 months",theft,IPC 379,25,6,30,Female,high,yes
C01357,"Robbery case, undertrial for 13 months",robbery,IPC 392,13,36,58,Male,low,no
C01358,"Physical assault case, undertrial for 34 months",assault,IPC 351,34,24,48,Female,high,yes
C01359,"Financial fraud case, undertrial for 18 months",fraud,IPC 420,18,12,68,Male,high,yes
C01360,"Physical assault case, in custody for 23 months",assault,IPC 351,23,24,55,Male,medium,no
C01361,"Robbery case, undertrial for 22 months",robbery,IPC 392,22,36,65,Male,medium,no
C01362,"Financial fraud case, detained for 21 months",fraud,IPC 420,21,12,41,Female,high,yes
C01363,"Robbery case, in custody for 14 months",robbery,IPC 392,14,36,20,Female,low,no
C01364,"Financial fraud case, undertrial for 2 months",fraud,IPC 420,2,12,64,Female,low,no
C01365,"Physical assault case, detained for 5 months",assault,IPC 351,5,24,34,Female,low,no
C01366,"Financial fraud case, in custody for 11 months",fraud,IPC 420,11,12,23,Female,medium,no
C01367,"Minor theft case, undertrial for 22 months",theft,IPC 379,22,6,48,Female,high,yes
C01368,"Financial fraud case, detained for 17 months",fraud,IPC 420,17,12,26,Male,high,yes
C01369,"Physical assault case, undertrial for 35 months",assault,IPC 351,35,24,49,Male,high,yes
C01370,"Minor theft case, detained for 27 months",theft,IPC 379,27,6,30,Female,high,yes
C01371,"Financial fraud case, in custody for 34 months",fraud,IPC 420,34,12,23,Male,high,yes
C01372,"Robbery case, detained for 36 months",robbery,IPC 392,36,36,22,Female,medium,no
C01373,"Minor theft case, in custody for 23 months",theft,IPC 379,23,6,40,Female,high,yes
C01374,"Physical assault case, undertrial for 8 months",assault,IPC 351,8,24,33,Female,low,no
C01375,"Physical assault case, undertrial for 15 months",assault,IPC 351,15,24,24,Male,medium,no
C01376,"Physical assault case, detained for 8 months",assault,IPC 351,8,24,44,Female,low,no
C01377,"Minor theft case, in custody for 25 months",theft,IPC 379,25,6,62,Male,high,yes
C01378,"Financial fraud case, detained for 7 months",fraud,IPC 420,7,12,54,Female,medium,no
C01379,"Minor theft case, in custody for 30 months",theft,IPC 379,30,6,35,Male,high,yes
C01380,"Robbery case, undertrial for 22 months",robbery,IPC 392,22,36,23,Female,medium,no
C01381,"Financial fraud case, in custody for 3 months",fraud,IPC 420,3,12,20,Female,low,no
C01382,"Physical assault case, detained for 15 months",assault,IPC 351,15,24,61,Male,medium,no
C01383,"Physical assault case, undertrial for 35 months",assault,IPC 351,35,24,67,Female,high,yes
C01384,"Financial fraud case, undertrial for 33 months",fraud,IPC 420,33,12,37,Male,high,yes
C01385,"Minor theft case, in custody for 34 months",theft,IPC 379,34,6,32,Female,high,yes
C01386,"Robbery case, in custody for 10 months",robbery,IPC 392,10,36,62,Male,low,no
C01387,"Financial fraud case, undertrial for 28 months",fraud,IPC 420,28,12,36,Female,high,yes
C01388,"Minor theft case, detained for 25 months",theft,IPC 379,25,6,18,Female,high,yes
C01389,"Minor theft case, in custody for 9 months",theft,IPC 379,9,6,51,Female,high,yes
C01390,"Financial fraud case, detained for 8 months",fraud,IPC 420,8,12,36,Male,medium,no
C01391,"Financial fraud case, undertrial for 26 months",fraud,IPC 420,26,12,40,Male,high,yes
C01392,"Robbery case, undertrial for 23 months",robbery,IPC 392,23,36,49,Female,medium,no
C01393,"Financial fraud case, undertrial for 20 months",fraud,IPC 420,20,12,23,Female,high,yes
C01394,"Robbery case, detained for 19 months",robbery,IPC 392,19,36,62,Male,medium,no
C01395,"Minor theft case, undertrial for 8 months",theft,IPC 379,8,6,49,Female,high,yes
C01396,"Physical assault case, in custody for 9 months",assault,IPC 351,9,24,66,Female,low,no
C01397,"Physical assault case, detained for 6 months",assault,IPC 351,6,24,33,Male,low,no
C01398,"Physical assault case, detained for 8 months",assault,IPC 351,8,24,32,Female,low,no
C01399,"Minor theft case, detained for 2 months",theft,IPC 379,2,6,29,Male,low,no
C01400,"Robbery case, undertrial for 18 months",robbery,IPC 392,18,36,35,Male,low,no
C01401,"Robbery case, undertrial for 33 months",robbery,IPC 392,33,36,38,Male,medium,no
C01402,"Robbery case, detained for 23 months",robbery,IPC 392,23,36,60,Male,medium,no
C01403,"Robbery case, undertrial for 9 months",robbery,IPC 392,9,36,27,Female,low,no
C01404,"Robbery case, detained for 20 months",robbery,IPC 392,20,36,55,Female,medium,no
C01405,"Financial fraud case, detained for 21 months",fraud,IPC 420,21,12,20,Male,high,yes
C01406,"Robbery case, undertrial for 27 months",robbery,IPC 392,27,36,67,Female,medium,no
C01407,"Physical assault case, detained for 36 months",assault,IPC 351,36,24,66,Female,high,yes
C01408,"Minor theft case, in custody for 17 months",theft,IPC 379,17,6,24,Male,high,yes
C01409,"Robbery case, undertrial for 21 months",robbery,IPC 392,21,36,59,Female,medium,no
C01410,"Minor theft case, undertrial for 22 months",theft,IPC 379,22,6,50,Male,high,yes
C01411,"Minor theft case, detained for 23 months",theft,IPC 379,23,6,64,Male,high,yes
C01412,"Robbery case, detained for 6 months",robbery,IPC 392,6,36,27,Female,low,no
C01413,"Minor theft case, undertrial for 35 months",theft,IPC 379,35,6,32,Female,high,yes
C01414,"Minor theft case, detained for 27 months",theft,IPC 379,27,6,44,Male,high,yes
C01415,"Minor theft case, detained for 35 months",theft,IPC 379,35,6,44,Female,high,yes
C01416,"Robbery case, detained for 21 months",robbery,IPC 392,21,36,69,Female,medium,no
C01417,"Robbery case, in custody for 18 months",robbery,IPC 392,18,36,61,Female,low,no
C01418,"Physical assault case, in custody for 18 months",assault,IPC 351,18,24,67,Female,medium,no
C01419,"Minor theft case, undertrial for 26 months",theft,IPC 379,26,6,43,Female,high,yes
C01420,"Financial fraud case, undertrial for 12 months",fraud,IPC 420,12,12,21,Male,medium,no
C01421,"Robbery case, in custody for 8 months",robbery,IPC 392,8,36,51,Male,low,no
C01422,"Financial fraud case, detained for 28 months",fraud,IPC 420,28,12,18,Male,high,yes
C01423,"Physical assault case, in custody for 33 months",assault,IPC 351,33,24,53,Male,high,yes
C01424,"Financial fraud case, in custody for 5 months",fraud,IPC 420,5,12,49,Male,low,no
C01425,"Financial fraud case, detained for 21 months",fraud,IPC 420,21,12,36,Female,high,yes
C01426,"Robbery case, undertrial for 12 months",robbery,IPC 392,12,36,51,Male,low,no
C01427,"Minor theft case, undertrial for 11 months",theft,IPC 379,11,6,37,Male,high,yes
C01428,"Robbery case, in custody for 6 months",robbery,IPC 392,6,36,42,Female,low,no
C01429,"Financial fraud case, in custody for 23 months",fraud,IPC 420,23,12,66,Female,high,yes
C01430,"Financial fraud case, in custody for 3 months",fraud,IPC 420,3,12,26,Female,low,no
C01431,"Robbery case, detained for 7 months",robbery,IPC 392,7,36,55,Female,low,no
C01432,"Financial fraud case, undertrial for 35 months",fraud,IPC 420,35,12,52,Male,high,yes
C01433,"Minor theft case, undertrial for 18 months",theft,IPC 379,18,6,31,Male,high,yes
C01434,"Financial fraud case, detained for 8 months",fraud,IPC 420,8,12,21,Female,medium,no
C01435,"Financial fraud case, undertrial for 18 months",fraud,IPC 420,18,12,56,Female,high,yes
C01436,"Minor theft case, in custody for 32 months",theft,IPC 379,32,6,67,Female,high,yes
C01437,"Robbery case, detained for 13 months",robbery,IPC 392,13,36,41,Male,low,no
C01438,"Robbery case, in custody for 18 months",robbery,IPC 392,18,36,38,Female,low,no
C01439,"Physical assault case, undertrial for 35 months",assault,IPC 351,35,24,60,Male,high,yes
C01440,"Robbery case, detained for 21 months",robbery,IPC 392,21,36,58,Male,medium,no
C01441,"Financial fraud case, undertrial for 36 months",fraud,IPC 420,36,12,65,Male,high,yes
C01442,"Robbery case, undertrial for 11 months",robbery,IPC 392,11,36,22,Male,low,no
C01443,"Financial fraud case, in custody for 17 months",fraud,IPC 420,17,12,53,Female,high,yes
C01444,"Minor theft case, in custody for 18 months",theft,IPC 379,18,6,56,Female,high,yes
C01445,"Robbery case, undertrial for 14 months",robbery,IPC 392,14,36,35,Female,low,no
C01446,"Physical assault case, detained for 17 months",assault,IPC 351,17,24,65,Female,medium,no
C01447,"Physical assault case, detained for 1 months",assault,IPC 351,1,24,46,Male,low,no
C01448,"Physical assault case, detained for 11 months",assault,IPC 351,11,24,21,Male,low,no
C01449,"Physical assault case, undertrial for 19 months",assault,IPC 351,19,24,20,Male,medium,no
C01450,"Minor theft case, undertrial for 36 months",theft,IPC 379,36,6,52,Male,high,yes
C01451,"Financial fraud case, undertrial for 21 months",fraud,IPC 420,21,12,65,Male,high,yes
C01452,"Financial fraud case, in custody for 35 months",fraud,IPC 420,35,12,39,Female,high,yes
C01453,"Minor theft case, undertrial for 18 months",theft,IPC 379,18,6,54,Female,high,yes
C01454,"Financial fraud case, undertrial for 15 months",fraud,IPC 420,15,12,63,Female,high,yes
C01455,"Financial fraud case, in custody for 4 months",fraud,IPC 420,4,12,26,Female,low,no
C01456,"Robbery case, detained for 13 months",robbery,IPC 392,13,36,50,Male,low,no
C01457,"Robbery case, detained for 36 months",robbery,IPC 392,36,36,29,Male,medium,no
C01458,"Physical assault case, in custody for 32 months",assault,IPC 351,32,24,29,Male,high,yes
C01459,"Physical assault case, in custody for 26 months",assault,IPC 351,26,24,18,Female,high,yes
C01460,"Physical assault case, undertrial for 30 months",assault,IPC 351,30,24,65,Female,high,yes
C01461,"Financial fraud case, in custody for 16 months",fraud,IPC 420,16,12,19,Female,high,yes
C01462,"Physical assault case, undertrial for 27 months",assault,IPC 351,27,24,54,Female,high,yes
C01463,"Robbery case, detained for 30 months",robbery,IPC 392,30,36,22,Female,medium,no
C01464,"Financial fraud case, in custody for 9 months",fraud,IPC 420,9,12,68,Female,medium,no
C01465,"Minor theft case, detained for 26 months",theft,IPC 379,26,6,36,Female,high,yes
C01466,"Financial fraud case, undertrial for 20 months",fraud,IPC 420,20,12,26,Male,high,yes
C01467,"Robbery case, undertrial for 2 months",robbery,IPC 392,2,36,21,Male,low,no
C01468,"Financial fraud case, detained for 33 months",fraud,IPC 420,33,12,51,Female,high,yes
C01469,"Minor theft case, in custody for 19 months",theft,IPC 379,19,6,20,Male,high,yes
C01470,"Financial fraud case, in custody for 10 months",fraud,IPC 420,10,12,21,Male,medium,no
C01471,"Financial fraud case, in custody for 28 months",fraud,IPC 420,28,12,68,Male,high,yes
C01472,"Financial fraud case, detained for 15 months",fraud,IPC 420,15,12,64,Female,high,yes
C01473,"Robbery case, detained for 15 months",robbery,IPC 392,15,36,19,Male,low,no
C01474,"Robbery case, detained for 27 months",robbery,IPC 392,27,36,56,Male,medium,no
C01475,"Robbery case, in custody for 33 months",robbery,IPC 392,33,36,58,Male,medium,no
C01476,"Robbery case, detained for 3 months",robbery,IPC 392,3,36,62,Female,low,no
C01477,"Minor theft case, undertrial for 15 months",theft,IPC 379,15,6,40,Male,high,yes
C01478,"Robbery case, undertrial for 17 months",robbery,IPC 392,17,36,29,Female,low,no
C01479,"Physical assault case, in custody for 2 months",assault,IPC 351,2,24,32,Male,low,no
C01480,"Financial fraud case, detained for 9 months",fraud,IPC 420,9,12,44,Female,medium,no
C01481,"Financial fraud case, undertrial for 11 months",fraud,IPC 420,11,12,28,Female,medium,no
C01482,"Physical assault case, detained for 17 months",assault,IPC 351,17,24,46,Male,medium,no
C01483,"Robbery case, in custody for 7 months",robbery,IPC 392,7,36,61,Male,low,no
C01484,"Minor theft case, detained for 6 months",theft,IPC 379,6,6,60,Male,medium,no
C01485,"Minor theft case, undertrial for 10 months",theft,IPC 379,10,6,61,Male,high,yes
C01486,"Minor theft case, undertrial for 23 months",theft,IPC 379,23,6,47,Female,high,yes
C01487,"Physical assault case, detained for 3 months",assault,IPC 351,3,24,27,Male,low,no
C01488,"Physical assault case, detained for 27 months",assault,IPC 351,27,24,56,Female,high,yes
C01489,"Minor theft case, detained for 6 months",theft,IPC 379,6,6,44,Female,medium,no
C01490,"Minor theft case, in custody for 9 months",theft,IPC 379,9,6,70,Female,high,yes
C01491,"Robbery case, detained for 14 months",robbery,IPC 392,14,36,54,Male,low,no
C01492,"Robbery case, in custody for 17 months",robbery,IPC 392,17,36,32,Male,low,no
C01493,"Minor theft case, detained for 6 months",theft,IPC 379,6,6,18,Female,medium,no
C01494,"Minor theft case, in custody for 24 months",theft,IPC 379,24,6,68,Female,high,yes
C01495,"Physical assault case, in custody for 3 months",assault,IPC 351,3,24,27,Male,low,no
C01496,"Financial fraud case, undertrial for 33 months",fraud,IPC 420,33,12,54,Female,high,yes
C01497,"Minor theft case, detained for 7 months",theft,IPC 379,7,6,59,Female,high,yes
C01498,"Minor theft case, in custody for 6 months",theft,IPC 379,6,6,37,Female,medium,no
C01499,"Physical assault case, detained for 1 months",assault,IPC 351,1,24,63,Female,low,no
C01500,"Minor theft case, undertrial for 26 months",theft,IPC 379,26,6,34,Male,high,yes
C01501,"Minor theft case, in custody for 33 months",theft,IPC 379,33,6,57,Male,high,yes
C01502,"Physical assault case, detained for 36 months",assault,IPC 351,36,24,24,Male,high,yes
C01503,"Financial fraud case, in custody for 27 months",fraud,IPC 420,27,12,68,Male,high,yes
C01504,"Robbery case, in custody for 35 months",robbery,IPC 392,35,36,68,Male,medium,no
C01505,"Robbery case, detained for 25 months",robbery,IPC 392,25,36,50,Male,medium,no
C01506,"Robbery case, in custody for 20 months",robbery,IPC 392,20,36,47,Male,medium,no
C01507,"Physical assault case, detained for 22 months",assault,IPC 351,22,24,70,Male,medium,no
C01508,"Robbery case, in custody for 9 months",robbery,IPC 392,9,36,64,Male,low,no
C01509,"Financial fraud case, in custody for 15 months",fraud,IPC 420,15,12,23,Male,high,yes
C01510,"Financial fraud case, undertrial for 32 months",fraud,IPC 420,32,12,54,Female,high,yes
C01511,"Financial fraud case, detained for 12 months",fraud,IPC 420,12,12,63,Male,medium,no
C01512,"Financial fraud case, detained for 19 months",fraud,IPC 420,19,12,43,Male,high,yes
C01513,"Robbery case, in custody for 12 months",robbery,IPC 392,12,36,18,Female,low,no
C01514,"Financial fraud case, detained for 28 months",fraud,IPC 420,28,12,64,Female,high,yes
C01515,"Robbery case, detained for 32 months",robbery,IPC 392,32,36,43,Male,medium,no
C01516,"Financial fraud case, in custody for 36 months",fraud,IPC 420,36,12,43,Female,high,yes
C01517,"Robbery case, undertrial for 30 months",robbery,IPC 392,30,36,52,Male,medium,no
C01518,"Physical assault case, undertrial for 30 months",assault,IPC 351,30,24,24,Male,high,yes
C01519,"Minor theft case, in custody for 32 months",theft,IPC 379,32,6,68,Female,high,yes
C01520,"Physical assault case, detained for 5 months",assault,IPC 351,5,24,39,Female,low,no
C01521,"Financial fraud case, in custody for 1 months",fraud,IPC 420,1,12,64,Female,low,no
C01522,"Robbery case, undertrial for 22 months",robbery,IPC 392,22,36,55,Male,medium,no
C01523,"Physical assault case, in custody for 13 months",assault,IPC 351,13,24,65,Male,medium,no
C01524,"Financial fraud case, detained for 22 months",fraud,IPC 420,22,12,54,Female,high,yes
C01525,"Physical assault case, undertrial for 14 months",assault,IPC 351,14,24,34,Male,medium,no
C01526,"Robbery case, in custody for 24 months",robbery,IPC 392,24,36,31,Male,medium,no
C01527,"Financial fraud case, undertrial for 36 months",fraud,IPC 420,36,12,51,Male,high,yes
C01528,"Minor theft case, undertrial for 28 months",theft,IPC 379,28,6,60,Male,high,yes
C01529,"Robbery case, undertrial for 17 months",robbery,IPC 392,17,36,55,Female,low,no
C01530,"Minor theft case, undertrial for 24 months",theft,IPC 379,24,6,19,Male,high,yes
C01531,"Financial fraud case, in custody for 14 months",fraud,IPC 420,14,12,69,Female,high,yes
C01532,"Financial fraud case, detained for 24 months",fraud,IPC 420,24,12,26,Male,high,yes
C01533,"Financial fraud case, undertrial for 6 months",fraud,IPC 420,6,12,50,Female,low,no
C01534,"Robbery case, detained for 18 months",robbery,IPC 392,18,36,47,Female,low,no
C01535,"Minor theft case, undertrial for 7 months",theft,IPC 379,7,6,64,Male,high,yes
C01536,"Minor theft case, undertrial for 26 months",theft,IPC 379,26,6,28,Female,high,yes
C01537,"Financial fraud case, detained for 5 months",fraud,IPC 420,5,12,55,Male,low,no
C01538,"Financial fraud case, in custody for 16 months",fraud,IPC 420,16,12,64,Male,high,yes
C01539,"Financial fraud case, in custody for 16 months",fraud,IPC 420,16,12,41,Male,high,yes
C01540,"Minor theft case, undertrial for 5 months",theft,IPC 379,5,6,18,Male,medium,no
C01541,"Robbery case, detained for 2 months",robbery,IPC 392,2,36,19,Female,low,no
C01542,"Robbery case, detained for 4 months",robbery,IPC 392,4,36,36,Female,low,no
C01543,"Minor theft case, in custody for 25 months",theft,IPC 379,25,6,51,Female,high,yes
C01544,"Physical assault case, undertrial for 23 months",assault,IPC 351,23,24,33,Female,medium,no
C01545,"Physical assault case, in custody for 16 months",assault,IPC 351,16,24,67,Female,medium,no
C01546,"Minor theft case, detained for 29 months",theft,IPC 379,29,6,69,Female,high,yes
C01547,"Minor theft case, undertrial for 9 months",theft,IPC 379,9,6,67,Male,high,yes
C01548,"Physical assault case, in custody for 19 months",assault,IPC 351,19,24,56,Female,medium,no
C01549,"Financial fraud case, undertrial for 17 months",fraud,IPC 420,17,12,59,Female,high,yes
C01550,"Robbery case, in custody for 29 months",robbery,IPC 392,29,36,66,Female,medium,no
C01551,"Robbery case, in custody for 12 months",robbery,IPC 392,12,36,50,Male,low,no
C01552,"Financial fraud case, undertrial for 20 months",fraud,IPC 420,20,12,18,Female,high,yes
C01553,"Robbery case, undertrial for 21 months",robbery,IPC 392,21,36,68,Female,medium,no
C01554,"Financial fraud case, in custody for 28 months",fraud,IPC 420,28,12,29,Female,high,yes
C01555,"Physical assault case, detained for 27 months",assault,IPC 351,27,24,58,Male,high,yes
C01556,"Minor theft case, undertrial for 2 months",theft,IPC 379,2,6,59,Male,low,no
C01557,"Minor theft case, detained for 15 months",theft,IPC 379,15,6,42,Male,high,yes
C01558,"Physical assault case, detained for 29 months",assault,IPC 351,29,24,57,Female,high,yes
C01559,"Financial fraud case, in custody for 28 months",fraud,IPC 420,28,12,68,Female,high,yes
C01560,"Robbery case, detained for 14 months",robbery,IPC 392,14,36,23,Female,low,no
C01561,"Physical assault case, undertrial for 18 months",assault,IPC 351,18,24,65,Male,medium,no
C01562,"Financial fraud case, detained for 33 months",fraud,IPC 420,33,12,67,Male,high,yes
C01563,"Minor theft case, in custody for 34 months",theft,IPC 379,34,6,27,Female,high,yes
C01564,"Financial fraud case, undertrial for 34 months",fraud,IPC 420,34,12,34,Male,high,yes
C01565,"Physical assault case, undertrial for 35 months",assault,IPC 351,35,24,41,Female,high,yes
C01566,"Robbery case, in custody for 21 months",robbery,IPC 392,21,36,28,Female,medium,no
C01567,"Physical assault case, in custody for 13 months",assault,IPC 351,13,24,70,Male,medium,no
C01568,"Financial fraud case, in custody for 20 months",fraud,IPC 420,20,12,47,Female,high,yes
C01569,"Physical assault case, undertrial for 12 months",assault,IPC 351,12,24,60,Female,low,no
C01570,"Robbery case, in custody for 19 months",robbery,IPC 392,19,36,43,Female,medium,no
C01571,"Financial fraud case, in custody for 25 months",fraud,IPC 420,25,12,37,Male,high,yes
C01572,"Minor theft case, undertrial for 22 months",theft,IPC 379,22,6,70,Male,high,yes
C01573,"Minor theft case, in custody for 27 months",theft,IPC 379,27,6,21,Female,high,yes
C01574,"Financial fraud case, detained for 4 months",fraud,IPC 420,4,12,19,Male,low,no
C01575,"Physical assault case, undertrial for 9 months",assault,IPC 351,9,24,37,Male,low,no
C01576,"Robbery case, detained for 7 months",robbery,IPC 392,7,36,49,Male,low,no
C01577,"Robbery case, undertrial for 31 months",robbery,IPC 392,31,36,38,Male,medium,no
C01578,"Physical assault case, undertrial for 4 months",assault,IPC 351,4,24,24,Female,low,no
C01579,"Financial fraud case, in custody for 28 months",fraud,IPC 420,28,12,49,Male,high,yes
C01580,"Robbery case, in custody for 9 months",robbery,IPC 392,9,36,42,Female,low,no
C01581,"Physical assault case, undertrial for 36 months",assault,IPC 351,36,24,68,Female,high,yes
C01582,"Robbery case, undertrial for 4 months",robbery,IPC 392,4,36,49,Female,low,no
C01583,"Minor theft case, undertrial for 34 months",theft,IPC 379,34,6,36,Male,high,yes
C01584,"Financial fraud case, detained for 7 months",fraud,IPC 420,7,12,24,Female,medium,no
C01585,"Financial fraud case, detained for 15 months",fraud,IPC 420,15,12,36,Female,high,yes
C01586,"Minor theft case, in custody for 28 months",theft,IPC 379,28,6,56,Female,high,yes
C01587,"Physical assault case, detained for 26 months",assault,IPC 351,26,24,31,Female,high,yes
C01588,"Minor theft case, in custody for 36 months",theft,IPC 379,36,6,30,Female,high,yes
C01589,"Financial fraud case, detained for 21 months",fraud,IPC 420,21,12,48,Male,high,yes
C01590,"Financial fraud case, detained for 9 months",fraud,IPC 420,9,12,49,Female,medium,no
C01591,"Physical assault case, undertrial for 24 months",assault,IPC 351,24,24,43,Male,medium,no
C01592,"Physical assault case, in custody for 33 months",assault,IPC 351,33,24,42,Female,high,yes
C01593,"Robbery case, in custody for 11 months",robbery,IPC 392,11,36,44,Male,low,no
C01594,"Financial fraud case, undertrial for 4 months",fraud,IPC 420,4,12,41,Male,low,no
C01595,"Robbery case, in custody for 33 months",robbery,IPC 392,33,36,53,Male,medium,no
C01596,"Minor theft case, detained for 25 months",theft,IPC 379,25,6,57,Female,high,yes
C01597,"Financial fraud case, undertrial for 17 months",fraud,IPC 420,17,12,29,Female,high,yes
C01598,"Robbery case, in custody for 3 months",robbery,IPC 392,3,36,45,Male,low,no
C01599,"Physical assault case, detained for 35 months",assault,IPC 351,35,24,68,Female,high,yes
C01600,"Physical assault case, in custody for 28 months",assault,IPC 351,28,24,54,Female,high,yes
C01601,"Minor theft case, in custody for 29 months",theft,IPC 379,29,6,46,Female,high,yes
C01602,"Minor theft case, in custody for 10 months",theft,IPC 379,10,6,37,Female,high,yes
C01603,"Robbery case, undertrial for 12 months",robbery,IPC 392,12,36,54,Female,low,no
C01604,"Robbery case, in custody for 3 months",robbery,IPC 392,3,36,65,Male,low,no
C01605,"Minor theft case, in custody for 25 months",theft,IPC 379,25,6,62,Female,high,yes
C01606,"Financial fraud case, detained for 33 months",fraud,IPC 420,33,12,28,Male,high,yes
C01607,"Robbery case, detained for 35 months",robbery,IPC 392,35,36,58,Female,medium,no
C01608,"Financial fraud case, detained for 11 months",fraud,IPC 420,11,12,18,Female,medium,no
C01609,"Minor theft case, undertrial for 19 months",theft,IPC 379,19,6,59,Male,high,yes
C01610,"Robbery case, undertrial for 17 months",robbery,IPC 392,17,36,31,Male,low,no
C01611,"Physical assault case, in custody for 22 months",assault,IPC 351,22,24,31,Female,medium,no
C01612,"Financial fraud case, detained for 17 months",fraud,IPC 420,17,12,60,Male,high,yes
C01613,"Financial fraud case, detained for 15 months",fraud,IPC 420,15,12,43,Male,high,yes
C01614,"Physical assault case, undertrial for 36 months",assault,IPC 351,36,24,18,Female,high,yes
C01615,"Physical assault case, undertrial for 17 months",assault,IPC 351,17,24,25,Male,medium,no
C01616,"Robbery case, in custody for 19 months",robbery,IPC 392,19,36,63,Male,medium,no
C01617,"Financial fraud case, detained for 1 months",fraud,IPC 420,1,12,34,Female,low,no
C01618,"Minor theft case, in custody for 6 months",theft,IPC 379,6,6,27,Male,medium,no
C01619,"Robbery case, undertrial for 34 months",robbery,IPC 392,34,36,35,Male,medium,no
C01620,"Financial fraud case, in custody for 26 months",fraud,IPC 420,26,12,57,Female,high,yes
C01621,"Physical assault case, detained for 15 months",assault,IPC 351,15,24,42,Female,medium,no
C01622,"Robbery case, in custody for 5 months",robbery,IPC 392,5,36,47,Female,low,no
C01623,"Robbery case, in custody for 36 months",robbery,IPC 392,36,36,46,Male,medium,no
C01624,"Financial fraud case, undertrial for 16 months",fraud,IPC 420,16,12,39,Female,high,yes
C01625,"Physical assault case, in custody for 32 months",assault,IPC 351,32,24,37,Male,high,yes
C01626,"Robbery case, detained for 22 months",robbery,IPC 392,22,36,63,Male,medium,no
C01627,"Minor theft case, undertrial for 23 months",theft,IPC 379,23,6,25,Female,high,yes
C01628,"Minor theft case, detained for 15 months",theft,IPC 379,15,6,30,Male,high,yes
C01629,"Minor theft case, undertrial for 15 months",theft,IPC 379,15,6,32,Male,high,yes
C01630,"Robbery case, in custody for 11 months",robbery,IPC 392,11,36,28,Male,low,no
C01631,"Financial fraud case, undertrial for 5 months",fraud,IPC 420,5,12,59,Male,low,no
C01632,"Robbery case, in custody for 27 months",robbery,IPC 392,27,36,53,Female,medium,no
C01633,"Robbery case, in custody for 14 months",robbery,IPC 392,14,36,35,Female,low,no
C01634,"Minor theft case, in custody for 29 months",theft,IPC 379,29,6,29,Male,high,yes
C01635,"Financial fraud case, detained for 10 months",fraud,IPC 420,10,12,38,Male,medium,no
C01636,"Financial fraud case, undertrial for 20 months",fraud,IPC 420,20,12,54,Male,high,yes
C01637,"Financial fraud case, detained for 3 months",fraud,IPC 420,3,12,44,Male,low,no
C01638,"Physical assault case, undertrial for 7 months",assault,IPC 351,7,24,50,Female,low,no
C01639,"Financial fraud case, in custody for 18 months",fraud,IPC 420,18,12,66,Female,high,yes
C01640,"Financial fraud case, undertrial for 7 months",fraud,IPC 420,7,12,25,Female,medium,no
C01641,"Financial fraud case, undertrial for 2 months",fraud,IPC 420,2,12,63,Male,low,no
C01642,"Minor theft case, in custody for 21 months",theft,IPC 379,21,6,57,Male,high,yes
C01643,"Physical assault case, in custody for 14 months",assault,IPC 351,14,24,33,Male,medium,no
C01644,"Physical assault case, undertrial for 14 months",assault,IPC 351,14,24,45,Male,medium,no
C01645,"Minor theft case, detained for 13 months",theft,IPC 379,13,6,57,Female,high,yes
C01646,"Physical assault case, detained for 30 months",assault,IPC 351,30,24,58,Female,high,yes
C01647,"Financial fraud case, detained for 8 months",fraud,IPC 420,8,12,57,Female,medium,no
C01648,"Robbery case, in custody for 6 months",robbery,IPC 392,6,36,68,Female,low,no
C01649,"Minor theft case, in custody for 20 months",theft,IPC 379,20,6,21,Male,high,yes
C01650,"Minor theft case, undertrial for 31 months",theft,IPC 379,31,6,47,Female,high,yes
C01651,"Financial fraud case, detained for 15 months",fraud,IPC 420,15,12,58,Male,high,yes
C01652,"Minor theft case, in custody for 20 months",theft,IPC 379,20,6,63,Male,high,yes
C01653,"Physical assault case, in custody for 20 months",assault,IPC 351,20,24,23,Male,medium,no
C01654,"Robbery case, undertrial for 6 months",robbery,IPC 392,6,36,23,Male,low,no
C01655,"Robbery case, in custody for 25 months",robbery,IPC 392,25,36,42,Female,medium,no
C01656,"Financial fraud case, in custody for 20 months",fraud,IPC 420,20,12,29,Female,high,yes
C01657,"Financial fraud case, detained for 2 months",fraud,IPC 420,2,12,56,Male,low,no
C01658,"Minor theft case, detained for 22 months",theft,IPC 379,22,6,51,Male,high,yes
C01659,"Financial fraud case, in custody for 9 months",fraud,IPC 420,9,12,61,Male,medium,no
C01660,"Minor theft case, undertrial for 24 months",theft,IPC 379,24,6,44,Male,high,yes
C01661,"Robbery case, undertrial for 26 months",robbery,IPC 392,26,36,18,Female,medium,no
C01662,"Physical assault case, detained for 12 months",assault,IPC 351,12,24,37,Female,low,no
C01663,"Minor theft case, detained for 1 months",theft,IPC 379,1,6,67,Female,low,no
C01664,"Physical assault case, undertrial for 21 months",assault,IPC 351,21,24,39,Male,medium,no
C01665,"Physical assault case, detained for 30 months",assault,IPC 351,30,24,32,Female,high,yes
C01666,"Minor theft case, undertrial for 7 months",theft,IPC 379,7,6,25,Male,high,yes
C01667,"Minor theft case, detained for 7 months",theft,IPC 379,7,6,44,Female,high,yes
C01668,"Robbery case, undertrial for 9 months",robbery,IPC 392,9,36,69,Female,low,no
